,T10Y3M,T10Y2Y,BAMLH0A0HYM2,BAMLC0A0CM,SAHMREALTIME,ICSA,CPILFESL,DCOILWTICO,DRTSCILM,DRCCLACBS,UMCSENT,PSAVERT,^GSPC,^VIX,^TNX,DX-Y.NYB,NVDA,cape,buffett
1871-02-28,,,,,,,,,,,,,,,,,,10.92,
1871-03-31,,,,,,,,,,,,,,,,,,11.19,
1871-04-30,,,,,,,,,,,,,,,,,,12.05,
1871-05-31,,,,,,,,,,,,,,,,,,12.59,
1871-06-30,,,,,,,,,,,,,,,,,,12.59,
1871-07-31,,,,,,,,,,,,,,,,,,12.27,
1871-08-31,,,,,,,,,,,,,,,,,,12.55,
1871-09-30,,,,,,,,,,,,,,,,,,12.31,
1871-10-31,,,,,,,,,,,,,,,,,,11.47,
1871-11-30,,,,,,,,,,,,,,,,,,11.6,
1871-12-31,,,,,,,,,,,,,,,,,,11.59,
1872-01-31,,,,,,,,,,,,,,,,,,11.9,
1872-02-29,,,,,,,,,,,,,,,,,,11.96,
1872-03-31,,,,,,,,,,,,,,,,,,12.18,
1872-04-30,,,,,,,,,,,,,,,,,,12.25,
1872-05-31,,,,,,,,,,,,,,,,,,12.28,
1872-06-30,,,,,,,,,,,,,,,,,,12.27,
1872-07-31,,,,,,,,,,,,,,,,,,12.38,
1872-08-31,,,,,,,,,,,,,,,,,,12.13,
1872-09-30,,,,,,,,,,,,,,,,,,11.83,
1872-10-31,,,,,,,,,,,,,,,,,,12.13,
1872-11-30,,,,,,,,,,,,,,,,,,11.71,
1872-12-31,,,,,,,,,,,,,,,,,,12.17,
1873-01-31,,,,,,,,,,,,,,,,,,12.25,
1873-02-28,,,,,,,,,,,,,,,,,,12.05,
1873-03-31,,,,,,,,,,,,,,,,,,11.95,
1873-04-30,,,,,,,,,,,,,,,,,,11.78,
1873-05-31,,,,,,,,,,,,,,,,,,12.05,
1873-06-30,,,,,,,,,,,,,,,,,,12.22,
1873-07-31,,,,,,,,,,,,,,,,,,12.16,
1873-08-31,,,,,,,,,,,,,,,,,,12.12,
1873-09-30,,,,,,,,,,,,,,,,,,11.16,
1873-10-31,,,,,,,,,,,,,,,,,,10.4,
1873-11-30,,,,,,,,,,,,,,,,,,10.31,
1873-12-31,,,,,,,,,,,,,,,,,,10.96,
1874-01-31,,,,,,,,,,,,,,,,,,11.33,
1874-02-28,,,,,,,,,,,,,,,,,,11.63,
1874-03-31,,,,,,,,,,,,,,,,,,11.43,
1874-04-30,,,,,,,,,,,,,,,,,,11.26,
1874-05-31,,,,,,,,,,,,,,,,,,11.02,
1874-06-30,,,,,,,,,,,,,,,,,,11.19,
1874-07-31,,,,,,,,,,,,,,,,,,11.07,
1874-08-31,,,,,,,,,,,,,,,,,,11.14,
1874-09-30,,,,,,,,,,,,,,,,,,11.28,
1874-10-31,,,,,,,,,,,,,,,,,,11.4,
1874-11-30,,,,,,,,,,,,,,,,,,11.56,
1874-12-31,,,,,,,,,,,,,,,,,,11.45,
1875-01-31,,,,,,,,,,,,,,,,,,11.41,
1875-02-28,,,,,,,,,,,,,,,,,,11.35,
1875-03-31,,,,,,,,,,,,,,,,,,11.48,
1875-04-30,,,,,,,,,,,,,,,,,,11.51,
1875-05-31,,,,,,,,,,,,,,,,,,11.33,
1875-06-30,,,,,,,,,,,,,,,,,,11.28,
1875-07-31,,,,,,,,,,,,,,,,,,11.29,
1875-08-31,,,,,,,,,,,,,,,,,,11.24,
1875-09-30,,,,,,,,,,,,,,,,,,11.24,
1875-10-31,,,,,,,,,,,,,,,,,,11.06,
1875-11-30,,,,,,,,,,,,,,,,,,11.34,
1875-12-31,,,,,,,,,,,,,,,,,,11.45,
1876-01-31,,,,,,,,,,,,,,,,,,11.79,
1876-02-29,,,,,,,,,,,,,,,,,,11.96,
1876-03-31,,,,,,,,,,,,,,,,,,11.95,
1876-04-30,,,,,,,,,,,,,,,,,,11.63,
1876-05-31,,,,,,,,,,,,,,,,,,11.63,
1876-06-30,,,,,,,,,,,,,,,,,,11.88,
1876-07-31,,,,,,,,,,,,,,,,,,11.75,
1876-08-31,,,,,,,,,,,,,,,,,,11.18,
1876-09-30,,,,,,,,,,,,,,,,,,10.42,
1876-10-31,,,,,,,,,,,,,,,,,,10.2,
1876-11-30,,,,,,,,,,,,,,,,,,9.94,
1876-12-31,,,,,,,,,,,,,,,,,,9.74,
1877-01-31,,,,,,,,,,,,,,,,,,9.52,
1877-02-28,,,,,,,,,,,,,,,,,,9.23,
1877-03-31,,,,,,,,,,,,,,,,,,9.2,
1877-04-30,,,,,,,,,,,,,,,,,,8.31,
1877-05-31,,,,,,,,,,,,,,,,,,8.18,
1877-06-30,,,,,,,,,,,,,,,,,,8.05,
1877-07-31,,,,,,,,,,,,,,,,,,8.35,
1877-08-31,,,,,,,,,,,,,,,,,,9.29,
1877-09-30,,,,,,,,,,,,,,,,,,9.99,
1877-10-31,,,,,,,,,,,,,,,,,,10.22,
1877-11-30,,,,,,,,,,,,,,,,,,10.27,
1877-12-31,,,,,,,,,,,,,,,,,,10.25,
1878-01-31,,,,,,,,,,,,,,,,,,10.57,
1878-02-28,,,,,,,,,,,,,,,,,,10.45,
1878-03-31,,,,,,,,,,,,,,,,,,10.88,
1878-04-30,,,,,,,,,,,,,,,,,,11.29,
1878-05-31,,,,,,,,,,,,,,,,,,11.71,
1878-06-30,,,,,,,,,,,,,,,,,,12.21,
