cut,asset_a,asset_b,n_effective,gated,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_p_q,spearman_p_q
common_window_episode_expansion,Equities (S&P 500 TR),Gold,10,False,-0.422,0.22417449829974112,-0.831,0.283,-0.285,0.4250381548921454,-0.814,0.509,0.4163240682709478,0.6139440015108767
common_window_episode_expansion,Equities (S&P 500 TR),Silver (derived),10,False,-0.388,0.2682189536529265,-0.818,0.32,0.152,0.6760651759978539,-0.68,0.792,0.44703158942154414,0.7656847396427351
common_window_episode_expansion,Equities (S&P 500 TR),Copper (PPI index),10,False,-0.169,0.6399120265030519,-0.722,0.515,0.164,0.6514773427962428,-0.682,0.868,0.7522468847343812,0.7522468847343812
common_window_episode_expansion,Equities (S&P 500 TR),Oil (WTI-era),10,False,-0.227,0.5276224203239993,-0.75,0.469,0.067,0.8548130882487427,-0.65,0.774,0.6994962057962488,0.903460987579972
common_window_episode_expansion,Gold,Silver (derived),10,False,0.829,0.003050147264255976,0.416,0.958,0.636,0.047911726129975435,-0.121,0.962,0.01669695721231219,0.12545291053519692
common_window_episode_expansion,Gold,Copper (PPI index),10,False,0.477,0.16305083330056352,-0.218,0.851,0.297,0.40470167127015705,-0.425,0.84,0.3163672884936307,0.6009860009045439
common_window_episode_expansion,Gold,Oil (WTI-era),10,False,0.68,0.030416210653430226,0.089,0.917,0.624,0.053717767217167436,-0.113,0.962,0.09195598569641696,0.1297681905650617
common_window_episode_expansion,Silver (derived),Copper (PPI index),10,False,0.696,0.025271920975107897,0.119,0.922,0.442,0.2004226867119421,-0.396,0.975,0.08645657175694807,0.377607960471775
common_window_episode_expansion,Silver (derived),Oil (WTI-era),10,False,0.862,0.001326585005395983,0.509,0.967,0.891,0.0005421442248338671,0.466,1.0,0.008212192890546562,0.003915486068244596
common_window_episode_expansion,Copper (PPI index),Oil (WTI-era),10,False,0.662,0.037153518751071486,0.055,0.912,0.309,0.38484123026128353,-0.538,0.962,0.10499907473128899,0.6009860009045439
