cut,asset_a,asset_b,n_effective,gated,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_p_q,spearman_p_q
common_window_full_years,Equities (S&P 500 TR),Gold,73,False,-0.14,0.23908821693014073,-0.358,0.094,-0.115,0.33464670864370316,-0.334,0.121,0.42001984055294994,0.5438009015460177
common_window_full_years,Equities (S&P 500 TR),Silver (derived),73,False,-0.064,0.5882101230390673,-0.29,0.168,-0.055,0.6414748552822592,-0.297,0.176,0.7213897735384787,0.7522468847343812
common_window_full_years,Equities (S&P 500 TR),Copper (PPI index),72,False,-0.072,0.546925609350759,-0.299,0.162,-0.135,0.25971967042212996,-0.364,0.109,0.7039636555999867,0.43848775525814143
common_window_full_years,Equities (S&P 500 TR),Oil (WTI-era),73,False,-0.246,0.036235451568713745,-0.45,-0.016,-0.232,0.048620438845823594,-0.446,0.0,0.10499907473128899,0.12545291053519692
common_window_full_years,Gold,Silver (derived),73,False,0.667,1.12565277609955e-10,0.517,0.778,0.498,7.386724442468388e-06,0.276,0.674,7.316743044647075e-09,0.00016004569625348175
common_window_full_years,Gold,Copper (PPI index),72,False,0.291,0.012982604959223055,0.064,0.49,0.217,0.06662038800601644,-0.018,0.434,0.05114359529390901,0.15194123580319538
common_window_full_years,Gold,Oil (WTI-era),73,False,0.136,0.25252776963229817,-0.097,0.355,0.068,0.5691641126432642,-0.179,0.298,0.4377148006959835,0.7126390947708945
common_window_full_years,Silver (derived),Copper (PPI index),72,False,0.504,6.253055678074515e-06,0.309,0.659,0.438,0.00011772075497332353,0.228,0.608,0.00016004569625348175,0.001391245286048369
common_window_full_years,Silver (derived),Oil (WTI-era),73,False,0.342,0.0030825151776576348,0.121,0.53,0.189,0.10844364618178723,-0.072,0.43,0.01669695721231219,0.23110940989561216
common_window_full_years,Copper (PPI index),Oil (WTI-era),72,False,0.44,0.00010885739499669372,0.232,0.61,0.415,0.0002926859621976992,0.18,0.61,0.001391245286048369,0.0025013906220870455
