cut,asset_a,asset_b,n_effective,gated,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_p_q,spearman_p_q
episode_expansion,Equities (S&P 500 TR),Gold,15,False,-0.231,0.4068212929199989,-0.665,0.319,-0.002,0.9949561096266831,-0.565,0.613,0.6009860009045439,0.9949561096266831
episode_expansion,Equities (S&P 500 TR),Silver (derived),15,False,-0.254,0.361396854881864,-0.678,0.297,0.154,0.5847640949410158,-0.376,0.707,0.5800196436375595,0.7213897735384787
episode_expansion,Equities (S&P 500 TR),Oil (WTI-era),11,False,-0.211,0.5326932644140664,-0.72,0.445,-0.009,0.9788365001441937,-0.727,0.69,0.6994962057962488,0.9864243799902727
episode_expansion,Equities (S&P 500 TR),Copper (PPI index),10,False,-0.169,0.6399120265030519,-0.722,0.515,0.164,0.6514773427962428,-0.692,0.875,0.7522468847343812,0.7522468847343812
episode_expansion,Gold,Silver (derived),15,False,0.837,9.787351102035828e-05,0.57,0.945,0.561,0.0294994517813793,-0.007,0.883,0.001391245286048369,0.0913078269423645
episode_expansion,Gold,Oil (WTI-era),11,False,0.69,0.018736861430707526,0.154,0.912,0.609,0.046695709354098905,-0.057,0.953,0.06959405674262796,0.12545291053519692
episode_expansion,Gold,Copper (PPI index),10,False,0.477,0.16305083330056352,-0.218,0.851,0.297,0.40470167127015705,-0.529,0.857,0.3163672884936307,0.6009860009045439
episode_expansion,Silver (derived),Oil (WTI-era),11,False,0.866,0.0005733347747178763,0.553,0.965,0.864,0.0006116938500931704,0.386,1.0,0.003922816879648627,0.003976010025605607
episode_expansion,Silver (derived),Copper (PPI index),10,False,0.696,0.025271920975107897,0.119,0.922,0.442,0.2004226867119421,-0.4,0.963,0.08645657175694807,0.377607960471775
episode_expansion,Oil (WTI-era),Copper (PPI index),10,False,0.662,0.037153518751071486,0.055,0.912,0.309,0.38484123026128353,-0.535,0.925,0.10499907473128899,0.6009860009045439
