cut,asset_a,asset_b,n_effective,gated,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_p_q,spearman_p_q
episode_recession,Silver (derived),Equities (S&P 500 TR),15,False,0.01,0.9722547976065532,-0.505,0.519,0.289,0.2956653610043777,-0.28,0.738,0.9864243799902727,0.4865379358299886
episode_recession,Silver (derived),Gold,15,False,0.823,0.00016404348771380248,0.537,0.939,0.639,0.010288446619594209,0.054,0.946,0.0016404348771380248,0.04314509872733055
episode_recession,Silver (derived),Copper (PPI index),11,False,0.74,0.009150371945364968,0.253,0.928,0.564,0.07095173447637551,-0.108,0.924,0.03965161176324819,0.15633433020218332
episode_recession,Silver (derived),Oil (WTI-era),11,False,0.751,0.007694469537388841,0.276,0.931,0.127,0.709214625773305,-0.856,0.767,0.035724322852162475,0.7880162508592278
episode_recession,Equities (S&P 500 TR),Gold,15,False,-0.413,0.12612926921722376,-0.764,0.126,-0.214,0.44314093482351424,-0.632,0.4,0.2597119214066105,0.615839526268923
episode_recession,Equities (S&P 500 TR),Copper (PPI index),11,False,-0.153,0.653876138269116,-0.689,0.492,-0.082,0.8109903943000459,-0.786,0.625,0.7522468847343812,0.8763553819098429
episode_recession,Equities (S&P 500 TR),Oil (WTI-era),11,False,-0.08,0.8156846247006999,-0.649,0.546,0.282,0.40114489796047825,-0.433,0.894,0.8763553819098429,0.6009860009045439
episode_recession,Gold,Copper (PPI index),11,False,0.602,0.05018116421407877,0.003,0.883,0.391,0.23454006709519443,-0.408,0.963,0.12545291053519692,0.4186301956240249
episode_recession,Gold,Oil (WTI-era),11,False,0.658,0.027831387190377532,0.096,0.902,-0.036,0.9154683168905347,-0.791,0.677,0.09045200836872698,0.9445308031410279
episode_recession,Copper (PPI index),Oil (WTI-era),11,False,0.592,0.054901926777526096,-0.012,0.88,0.255,0.45003657688882837,-0.515,0.794,0.1297681905650617,0.615839526268923
