cut,asset_a,asset_b,n_effective,gated,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_p_q,spearman_p_q
full_history_pairwise_complete_year_level,Equities (S&P 500 TR),Gold,98,False,-0.058,0.5688877257718365,-0.254,0.142,-0.005,0.9607776243611662,-0.2,0.19,0.7126390947708945,0.9834731587948945
full_history_pairwise_complete_year_level,Equities (S&P 500 TR),Silver (derived),98,False,0.043,0.6773365004531888,-0.157,0.239,0.083,0.4154547390819755,-0.121,0.28,0.7656847396427351,0.6068440009062563
full_history_pairwise_complete_year_level,Equities (S&P 500 TR),Copper (PPI index),72,False,-0.072,0.546925609350759,-0.299,0.162,-0.135,0.25971967042212996,-0.373,0.091,0.7039636555999867,0.43848775525814143
full_history_pairwise_complete_year_level,Equities (S&P 500 TR),Oil (WTI-era),76,False,-0.25,0.029108737853090857,-0.45,-0.026,-0.235,0.0413624260312526,-0.446,-0.01,0.0913078269423645,0.11440671029920932
full_history_pairwise_complete_year_level,Gold,Silver (derived),98,False,0.64,1.2289597224977848e-12,0.506,0.744,0.467,1.2748805553948962e-06,0.274,0.633,1.5976476392471202e-10,5.524482406711217e-05
full_history_pairwise_complete_year_level,Gold,Copper (PPI index),72,False,0.291,0.012982604959223055,0.064,0.49,0.217,0.06662038800601644,-0.03,0.437,0.05114359529390901,0.15194123580319538
full_history_pairwise_complete_year_level,Gold,Oil (WTI-era),76,False,0.138,0.23507695600426015,-0.09,0.352,0.066,0.5701112758167156,-0.171,0.318,0.4186301956240249,0.7126390947708945
full_history_pairwise_complete_year_level,Silver (derived),Copper (PPI index),72,False,0.504,6.253055678074515e-06,0.309,0.659,0.438,0.00011772075497332353,0.225,0.606,0.00016004569625348175,0.001391245286048369
full_history_pairwise_complete_year_level,Silver (derived),Oil (WTI-era),76,False,0.341,0.002553833679614746,0.125,0.526,0.188,0.10336351760440458,-0.061,0.428,0.015090835379541681,0.22395428814287657
full_history_pairwise_complete_year_level,Copper (PPI index),Oil (WTI-era),72,False,0.44,0.00010885739499669372,0.232,0.61,0.415,0.0002926859621976992,0.183,0.618,0.001391245286048369,0.0025013906220870455
