sub_type,asset,n_effective,gated,avg_return_base,std_return,avg_return_reclassified,n_effective_alt,gated_alt
demand_monetary,Copper (PPI index),5,False,-0.06033195604698631,0.11623128416336971,-0.05785627620826863,6.0,False
demand_monetary,Equities (S&P 500 TR),8,False,0.20891767209079354,0.1950517681791294,0.17253819836737183,9.0,False
demand_monetary,Gold,8,False,-0.04465042932990311,0.08458725106379733,-0.038859327801759186,9.0,False
demand_monetary,Oil (WTI-era),5,False,0.10486542993113548,0.12736551054098114,0.05694873651945922,6.0,False
demand_monetary,Silver (derived),9,False,-0.07750296045152935,0.2188219869055274,-0.08196301473957635,10.0,False
exogenous,Copper (PPI index),1,True,0.02842837746096416,,0.02842837746096416,1.0,True
exogenous,Equities (S&P 500 TR),1,True,0.18023201827422475,,0.18023201827422475,1.0,True
exogenous,Gold,1,True,0.2416940249507551,,0.2416940249507551,1.0,True
exogenous,Oil (WTI-era),1,True,-0.336931102716316,,-0.336931102716316,1.0,True
exogenous,Silver (derived),1,True,0.2685120501513043,,0.2685120501513043,1.0,True
financial_credit,Copper (PPI index),1,True,-0.15865413884773838,,-0.15865413884773838,1.0,True
financial_credit,Equities (S&P 500 TR),2,True,-0.3164680838685867,0.16333830373087624,-0.3164680838685867,2.0,True
financial_credit,Gold,2,True,0.2893955974578053,0.02114564451504896,0.2893955974578053,2.0,True
financial_credit,Oil (WTI-era),1,True,-0.15288634996993378,,-0.15288634996993378,1.0,True
financial_credit,Silver (derived),2,True,-0.15450399940411136,0.3494589019762562,-0.15450399940411136,2.0,True
mixed,Copper (PPI index),2,True,-0.08158940793715458,0.05106941678861867,,,
mixed,Equities (S&P 500 TR),2,True,0.07197050120935394,0.26936255979576984,,,
mixed,Gold,2,True,-0.053277299935820255,0.08590892631135211,,,
mixed,Oil (WTI-era),2,True,-0.06987978645483311,0.1594595711483386,,,
mixed,Silver (derived),2,True,-0.19376767768949715,0.1013484473126437,,,
supply_shock,Copper (PPI index),2,True,0.13936812645499408,0.09379526423525647,0.0536784380167864,3.0,True
supply_shock,Equities (S&P 500 TR),2,True,0.09360980400556684,0.3164198916132808,0.14988606728328113,3.0,True
supply_shock,Gold,2,True,0.656436208951271,0.7135849261048925,0.399616111202503,3.0,True
supply_shock,Oil (WTI-era),2,True,0.9853032467047533,0.39206755447371344,0.6711605503462542,3.0,True
supply_shock,Silver (derived),2,True,1.2413545850679377,0.5396658034696348,0.7390924393629601,3.0,True
