asset,regime,avg_return,volatility,n_years,rank
Equities (S&P 500 TR),recession,-0.011603030116150678,0.26668921537791473,15,5
Gold,recession,0.07724357059546645,0.19870710974843395,15,2
Silver (derived),recession,0.053461201826178605,0.3328367445726282,16,3
Copper (PPI index),recession,0.02406920104301148,0.132223876004861,8,4
Oil (WTI-era),recession,0.15304461095083488,0.427173798229645,8,1
Equities (S&P 500 TR),expansion,0.1410615257892922,0.1632212885227784,83,1
Gold,expansion,0.07295282699528277,0.21901440723529148,83,2
Silver (derived),expansion,0.07036835879641175,0.23719560611794074,84,3
Copper (PPI index),expansion,0.053793481594402684,0.13534293059351837,65,5
Oil (WTI-era),expansion,0.06336662773315839,0.2300552121579689,68,4
